Date,Open,High,Low,Close
2024-04-02,7.085,7.116,7.075,7.108
2024-04-03,7.118,7.118,7.1,7.104
2024-04-04,7.119,7.119,7.09,7.094
2024-04-05,7.088,7.121,7.088,7.117
2024-04-08,7.141,7.162,7.135,7.154
2024-04-10,7.133,7.133,7.113,7.116
2024-04-12,7.178,7.187,7.169,7.179
2024-04-15,7.193,7.193,7.16,7.175
2024-04-16,7.193,7.2,7.185,7.193
2024-04-18,7.17,7.187,7.155,7.18
2024-04-19,7.206,7.233,7.197,7.225
2024-04-22,7.241,7.242,7.188,7.192
2024-04-23,7.184,7.184,7.163,7.167
2024-04-24,7.175,7.19,7.16,7.186
2024-04-25,7.193,7.206,7.188,7.204
2024-04-26,7.238,7.238,7.188,7.199
2024-04-29,7.185,7.203,7.176,7.196
2024-04-30,7.199,7.205,7.185,7.195
2024-05-02,7.17,7.173,7.159,7.162
2024-05-03,7.16,7.163,7.147,7.149
2024-05-06,7.132,7.132,7.106,7.108
2024-05-07,7.115,7.135,7.109,7.129
2024-05-08,7.138,7.144,7.13,7.138
2024-05-09,7.148,7.148,7.125,7.135
2024-05-10,7.124,7.129,7.111,7.127
2024-05-13,7.134,7.134,7.114,7.116
2024-05-14,7.123,7.123,7.105,7.109
2024-05-15,7.103,7.103,7.082,7.086
2024-05-16,7.058,7.082,7.055,7.076
2024-05-17,7.084,7.099,7.08,7.095
2024-05-21,7.101,7.101,7.069,7.078
2024-05-22,7.053,7.053,6.993,6.997
2024-05-24,6.997,7.001,6.985,6.998
2024-05-27,7.016,7.016,6.967,6.981
2024-05-28,6.981,6.998,6.971,6.995
2024-05-29,7.02,7.02,6.987,7.008
2024-05-30,7.022,7.022,6.995,7.003
2024-05-31,6.991,6.994,6.98,6.986
2024-06-03,6.955,6.963,6.945,6.947
2024-06-04,6.955,7.062,6.951,7.033
2024-06-05,7.034,7.054,7.023,7.026
2024-06-06,7.02,7.023,7.013,7.015
2024-06-07,7.02,7.036,7.005,7.018
2024-06-10,7.048,7.048,7.027,7.032
2024-06-11,7.055,7.055,7.012,7.014
2024-06-12,7.012,7.015,7.007,7.012
2024-06-13,7.003,7.003,6.985,6.986
2024-06-14,6.98,6.991,6.975,6.984
2024-06-18,6.998,6.998,6.981,6.981
2024-06-19,6.981,6.981,6.964,6.974
2024-06-20,6.984,6.984,6.97,6.976
2024-06-21,6.984,6.984,6.972,6.973
2024-06-24,6.979,6.979,6.954,6.971
2024-06-25,6.972,6.989,6.969,6.983
2024-06-26,6.998,7.001,6.984,6.997
2024-06-27,7.006,7.009,6.987,7.0
2024-06-28,6.998,7.02,6.992,7.008
2024-07-01,7.023,7.024,7.01,7.013
2024-07-02,7.009,7.009,7.009,7.009
