Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
26-AUG-2024,51100.65,51317.85,51061.55,51148.1,100320793,6061.78
27-AUG-2024,51214.05,51404.7,50938.1,51278.75,111416843,8773.87
28-AUG-2024,51208.95,51260.75,51033.7,51143.85,128085581,8195.06
29-AUG-2024,51103.75,51368.95,50984.4,51152.75,143629783,10453.64
30-AUG-2024,51437.45,51466.55,51256,51351,478573056,47100.19
02-SEP-2024,51579.5,51579.5,51295.8,51439.55,150152857,8883.89
03-SEP-2024,51479.75,51750.1,51240.05,51689.1,127204798,9647.14
04-SEP-2024,51364.65,51503.55,51259.9,51400.25,159700071,8317.24
05-SEP-2024,51544.25,51636.75,51389.15,51473.05,129639285,7199.02
06-SEP-2024,51200.4,51380.05,50447.3,50576.85,185967220,10456.6
09-SEP-2024,50549.25,51192.75,50369.4,51117.8,172392082,8680.31
10-SEP-2024,51328.3,51366,50958.25,51272.3,119254409,8086
11-SEP-2024,51218.55,51420.15,50947.7,51010,145073630,7944.87
12-SEP-2024,51271,51878.1,51025,51772.4,127898149,9274.62
13-SEP-2024,51952.55,51994.1,51643.95,51938.05,151963664,7602.33
16-SEP-2024,52038.7,52208.7,51921.45,52153.15,93777745,5286.96
17-SEP-2024,52249.05,52284.6,52085.5,52188.65,111430870,6966.69
18-SEP-2024,52177.1,52954.2,52154.55,52750.4,205126988,11297.58
19-SEP-2024,52929.25,53353.3,52847.9,53037.6,164882787,9220.7
20-SEP-2024,53235.8,54066.1,53037.6,53793.2,271883692,24549.83
23-SEP-2024,53917.9,54197.95,53741.4,54105.8,163673628,8951.37
24-SEP-2024,54110.65,54247.7,53904.65,53968.6,192600707,10159.06
25-SEP-2024,53794,54141.3,53792.85,54101.65,184559680,9194.41
26-SEP-2024,54045.85,54467.35,54010.9,54375.35,170534996,9757.27
27-SEP-2024,54338.7,54338.7,53763.2,53834.3,217415265,12546.22
30-SEP-2024,53556.95,53726.4,52926.55,52978.1,190319755,8923.99
01-OCT-2024,52844,53235.25,52817.8,52922.6,240165035,9596.02
03-OCT-2024,52314.45,52582.95,51683.4,51845.2,272327853,13481.2
04-OCT-2024,51643.75,52358.35,51347.25,51462.05,255769234,12533.96
07-OCT-2024,51543.2,51784.8,50194.3,50478.9,328679712,19103.48
08-OCT-2024,50736.1,51176.05,50466,51021,153214037,8201.03
09-OCT-2024,51161.75,51707.15,50903.75,51007,310003563,12531.69
10-OCT-2024,51195.7,51659.45,51047,51530.9,123685597,6970.77
11-OCT-2024,51491.9,51560,51005.85,51172.3,109416180,6858.19
14-OCT-2024,51263.25,51893,51220.85,51816.9,126590926,7093.53
15-OCT-2024,51975.95,52022.05,51698.75,51906,101408546,6693.44
16-OCT-2024,51711.2,52031.6,51711.2,51801.05,94424408,5779.85
17-OCT-2024,51849.3,51930.2,51150.25,51288.8,107821058,6204.87
18-OCT-2024,51261,52199.45,51000.9,52094.2,139076902,9097.47
21-OCT-2024,52361.1,52577.5,51855.15,51962.7,145727673,10893.22
22-OCT-2024,52071.35,52257.3,51179.6,51257.15,203947181,11067.63
23-OCT-2024,51117.8,51551.55,51107.9,51239,208111850,9710.54
24-OCT-2024,51272.3,51781.55,51201.85,51531.15,171818678,7651.48
25-OCT-2024,51369.75,51501.05,50382.1,50787.45,271735399,14819.64
28-OCT-2024,51061.35,51589.15,51012.55,51259.3,447571902,12761.66
29-OCT-2024,51404.1,52354.85,51278.9,52320.7,374629247,14536.44
30-OCT-2024,51988.7,52220,51733,51807.5,247658224,11307.58
31-OCT-2024,51649.45,52005.6,51318.1,51475.35,319910762,10626.73
01-NOV-2024,51550.15,51825.5,51459.4,51673.9,51350377,1023.61
04-NOV-2024,51764.5,51764.5,51066.8,51215.25,320472374,10675.25
05-NOV-2024,51052.6,52289.55,50865.45,52207.25,244983932,12746.52
06-NOV-2024,52440.4,52493.95,52185.4,52317.4,219097414,10051.57
07-NOV-2024,52258.95,52377.25,51752.25,51916.5,160476603,7418.76
08-NOV-2024,51869.15,52007.15,51494,51561.2,157226476,8047.16
11-NOV-2024,51562.7,52177.7,51294.2,51876.75,160694052,7576.85
12-NOV-2024,52053.75,52169.05,51006.85,51157.8,131415636,8256.31
13-NOV-2024,51030.95,51353.5,49904.4,50088.35,207050329,9648.29
14-NOV-2024,50053.45,50561.8,49939.35,50179.55,133887043,6834.4
18-NOV-2024,50312.45,50445.8,50074,50363.8,161525597,7291.66
19-NOV-2024,50580.55,50983.5,50440.85,50626.5,185755396,11808.91
21-NOV-2024,50625,50652.15,49787.1,50372.9,254623745,11059.22
22-NOV-2024,50512.8,51271.5,50508.25,51135.4,183377690,9726.6
25-NOV-2024,52046.35,52331.1,51774.05,52207.5,458462507,48724.25
26-NOV-2024,52554.9,52555.5,51999.75,52191.5,113118684,6692.01
27-NOV-2024,52154.3,52444.35,52019.65,52301.8,151590455,9483.92
28-NOV-2024,52389.95,52760.2,51782.9,51906.85,172034869,11035.07
29-NOV-2024,51984.15,52170.9,51759.45,52055.6,139625360,7754.53
02-DEC-2024,52087.65,52197.25,51693.95,52109,102500670,5850.86
03-DEC-2024,52357.95,52780.9,52216.85,52695.75,173561594,10201.25
04-DEC-2024,52775,53387.1,52685.15,53266.9,228584540,11813.29
05-DEC-2024,53354.45,53888.3,52850.35,53603.55,155605811,11440.43
06-DEC-2024,53634.2,53868.5,53160.65,53509.5,209369122,8276.79
09-DEC-2024,53380.75,53775.1,53326.4,53407.75,121821865,6989.26
10-DEC-2024,53450.05,53624.05,53302.65,53577.7,121836590,5376.71
11-DEC-2024,53459.3,53648.05,53302.15,53391.35,101587795,5690.56
12-DEC-2024,53201,53537.45,53174.4,53216.45,99473861,6140.28
13-DEC-2024,53109.8,53654,52264.55,53583.8,139912483,7776.14
16-DEC-2024,53502.5,53738.9,53335,53581.35,85755127,4980.12
17-DEC-2024,53394.1,53515.7,52709.4,52834.8,116219553,6731.56
18-DEC-2024,52696.95,52827.6,52010.65,52139.55,149536630,6980.26
19-DEC-2024,51428.45,51789.85,51263.75,51575.7,145941694,8027.55
20-DEC-2024,51401.35,51629,50609.35,50759.2,228200799,16375.69
23-DEC-2024,51044.4,51417.35,51030.4,51317.6,110847696,4510.06
24-DEC-2024,51314.95,51382.1,51137.5,51233,112046629,5487.6
26-DEC-2024,51395.8,51740,50951.8,51170.7,91270844,4498.69
27-DEC-2024,51268.2,51628.45,51240.1,51311.3,78171919,4120.89
30-DEC-2024,51255.35,51979.75,50718.35,50952.75,316292024,11753.32
31-DEC-2024,50648.2,50945.55,50599.8,50860.2,105274010,5698.85
01-JAN-2025,50841.9,51321.95,50485.05,51060.6,81129924,3485.94
02-JAN-2025,51084.95,51672.75,50992.8,51605.55,134402813,6772.81
03-JAN-2025,51567.15,51671.6,50904.35,50988.8,148238026,8040.74
06-JAN-2025,50990.65,51026.1,49751,49922,184590426,7006.9
07-JAN-2025,50061.2,50447.6,49969.3,50202.15,103825140,5397.67
